MTU (CET),Demand (MW),Price (EUR/MWh)
01.01.2018 00:00 - 01.01.2018 01:00,3421,3421
01.01.2018 01:00 - 01.01.2018 02:00,3308,3308
01.01.2018 02:00 - 01.01.2018 03:00,3118,3118
01.01.2018 03:00 - 01.01.2018 04:00,3018,3018
01.01.2018 04:00 - 01.01.2018 05:00,2916,2916
01.01.2018 05:00 - 01.01.2018 06:00,2802,2802
01.01.2018 06:00 - 01.01.2018 07:00,2844,2844
01.01.2018 07:00 - 01.01.2018 08:00,2951,2951
01.01.2018 08:00 - 01.01.2018 09:00,3011,3011
01.01.2018 09:00 - 01.01.2018 10:00,3239,3239
01.01.2018 10:00 - 01.01.2018 11:00,3445,3445
01.01.2018 11:00 - 01.01.2018 12:00,3582,3582
01.01.2018 12:00 - 01.01.2018 13:00,3648,3648
01.01.2018 13:00 - 01.01.2018 14:00,3604,3604
01.01.2018 14:00 - 01.01.2018 15:00,3743,3743
01.01.2018 15:00 - 01.01.2018 16:00,3733,3733
01.01.2018 16:00 - 01.01.2018 17:00,3986,3986
01.01.2018 17:00 - 01.01.2018 18:00,4270,4270
01.01.2018 18:00 - 01.01.2018 19:00,4183,4183
01.01.2018 19:00 - 01.01.2018 20:00,3951,3951
01.01.2018 20:00 - 01.01.2018 21:00,3721,3721
01.01.2018 21:00 - 01.01.2018 22:00,3477,3477
01.01.2018 22:00 - 01.01.2018 23:00,3265,3265
01.01.2018 23:00 - 02.01.2018 00:00,3067,3067
02.01.2018 00:00 - 02.01.2018 01:00,2889,2889
02.01.2018 01:00 - 02.01.2018 02:00,2825,2825
02.01.2018 02:00 - 02.01.2018 03:00,2780,2780
02.01.2018 03:00 - 02.01.2018 04:00,2793,2793
02.01.2018 04:00 - 02.01.2018 05:00,2908,2908
02.01.2018 05:00 - 02.01.2018 06:00,3101,3101
02.01.2018 06:00 - 02.01.2018 07:00,3648,3648
02.01.2018 07:00 - 02.01.2018 08:00,4226,4226
02.01.2018 08:00 - 02.01.2018 09:00,4596,4596
02.01.2018 09:00 - 02.01.2018 10:00,4694,4694
02.01.2018 10:00 - 02.01.2018 11:00,4773,4773
02.01.2018 11:00 - 02.01.2018 12:00,4735,4735
02.01.2018 12:00 - 02.01.2018 13:00,4638,4638
02.01.2018 13:00 - 02.01.2018 14:00,4632,4632
02.01.2018 14:00 - 02.01.2018 15:00,4617,4617
02.01.2018 15:00 - 02.01.2018 16:00,4597,4597
02.01.2018 16:00 - 02.01.2018 17:00,4917,4917
02.01.2018 17:00 - 02.01.2018 18:00,5276,5276
02.01.2018 18:00 - 02.01.2018 19:00,5018,5018
02.01.2018 19:00 - 02.01.2018 20:00,4640,4640
02.01.2018 20:00 - 02.01.2018 21:00,4300,4300
02.01.2018 21:00 - 02.01.2018 22:00,4045,4045
02.01.2018 22:00 - 02.01.2018 23:00,3733,3733
02.01.2018 23:00 - 03.01.2018 00:00,3449,3449
03.01.2018 00:00 - 03.01.2018 01:00,3269,3269
03.01.2018 01:00 - 03.01.2018 02:00,3147,3147
03.01.2018 02:00 - 03.01.2018 03:00,3009,3009
03.01.2018 03:00 - 03.01.2018 04:00,2960,2960
03.01.2018 04:00 - 03.01.2018 05:00,3078,3078
03.01.2018 05:00 - 03.01.2018 06:00,3448,3448
03.01.2018 06:00 - 03.01.2018 07:00,3967,3967
03.01.2018 07:00 - 03.01.2018 08:00,4640,4640
03.01.2018 08:00 - 03.01.2018 09:00,5027,5027
03.01.2018 09:00 - 03.01.2018 10:00,5077,5077
03.01.2018 10:00 - 03.01.2018 11:00,5167,5167
03.01.2018 11:00 - 03.01.2018 12:00,5122,5122
03.01.2018 12:00 - 03.01.2018 13:00,5059,5059
03.01.2018 13:00 - 03.01.2018 14:00,5052,5052
03.01.2018 14:00 - 03.01.2018 15:00,4987,4987
03.01.2018 15:00 - 03.01.2018 16:00,4913,4913
03.01.2018 16:00 - 03.01.2018 17:00,5115,5115
03.01.2018 17:00 - 03.01.2018 18:00,5447,5447
03.01.2018 18:00 - 03.01.2018 19:00,5262,5262
03.01.2018 19:00 - 03.01.2018 20:00,4917,4917
03.01.2018 20:00 - 03.01.2018 21:00,4573,4573
03.01.2018 21:00 - 03.01.2018 22:00,4279,4279
03.01.2018 22:00 - 03.01.2018 23:00,3968,3968
03.01.2018 23:00 - 04.01.2018 00:00,3626,3626
04.01.2018 00:00 - 04.01.2018 01:00,3404,3404
04.01.2018 01:00 - 04.01.2018 02:00,3249,3249
04.01.2018 02:00 - 04.01.2018 03:00,3182,3182
04.01.2018 03:00 - 04.01.2018 04:00,3193,3193
04.01.2018 04:00 - 04.01.2018 05:00,3244,3244
04.01.2018 05:00 - 04.01.2018 06:00,3509,3509
04.01.2018 06:00 - 04.01.2018 07:00,4140,4140
04.01.2018 07:00 - 04.01.2018 08:00,4799,4799
