MTU (CET),Demand (MW),Price (EUR/MWh)
01.01.2018 00:00 - 01.01.2018 01:00,2634,26.33
01.01.2018 01:00 - 01.01.2018 02:00,2567,26.43
01.01.2018 02:00 - 01.01.2018 03:00,2502,26.1
01.01.2018 03:00 - 01.01.2018 04:00,2486,24.7
01.01.2018 04:00 - 01.01.2018 05:00,2494,24.74
01.01.2018 05:00 - 01.01.2018 06:00,2563,18.01
01.01.2018 06:00 - 01.01.2018 07:00,2541,17.78
01.01.2018 07:00 - 01.01.2018 08:00,2760,17.8
01.01.2018 08:00 - 01.01.2018 09:00,2857,19.76
01.01.2018 09:00 - 01.01.2018 10:00,2985,20.73
01.01.2018 10:00 - 01.01.2018 11:00,3088,24.76
01.01.2018 11:00 - 01.01.2018 12:00,3147,25.68
01.01.2018 12:00 - 01.01.2018 13:00,3177,24.09
01.01.2018 13:00 - 01.01.2018 14:00,3167,25.01
01.01.2018 14:00 - 01.01.2018 15:00,3241,25.81
01.01.2018 15:00 - 01.01.2018 16:00,3471,26.46
01.01.2018 16:00 - 01.01.2018 17:00,3537,27.03
01.01.2018 17:00 - 01.01.2018 18:00,3503,27.43
01.01.2018 18:00 - 01.01.2018 19:00,3464,27.29
01.01.2018 19:00 - 01.01.2018 20:00,3357,26.96
01.01.2018 20:00 - 01.01.2018 21:00,3316,26.7
01.01.2018 21:00 - 01.01.2018 22:00,3115,26.47
01.01.2018 22:00 - 01.01.2018 23:00,2878,26.09
01.01.2018 23:00 - 02.01.2018 00:00,2664,24.88
02.01.2018 00:00 - 02.01.2018 01:00,2482,25.28
02.01.2018 01:00 - 02.01.2018 02:00,2426,23.16
02.01.2018 02:00 - 02.01.2018 03:00,2401,24.78
02.01.2018 03:00 - 02.01.2018 04:00,2418,25.03
02.01.2018 04:00 - 02.01.2018 05:00,2546,25.73
02.01.2018 05:00 - 02.01.2018 06:00,2890,26.84
02.01.2018 06:00 - 02.01.2018 07:00,3282,27.8
02.01.2018 07:00 - 02.01.2018 08:00,3574,30.5
02.01.2018 08:00 - 02.01.2018 09:00,3705,31.93
02.01.2018 09:00 - 02.01.2018 10:00,3798,33.53
02.01.2018 10:00 - 02.01.2018 11:00,3859,35.04
02.01.2018 11:00 - 02.01.2018 12:00,3876,35.22
02.01.2018 12:00 - 02.01.2018 13:00,3892,34.56
02.01.2018 13:00 - 02.01.2018 14:00,3834,34.1
02.01.2018 14:00 - 02.01.2018 15:00,3865,35.98
02.01.2018 15:00 - 02.01.2018 16:00,4002,38.05
02.01.2018 16:00 - 02.01.2018 17:00,4006,41.67
02.01.2018 17:00 - 02.01.2018 18:00,3926,42.39
02.01.2018 18:00 - 02.01.2018 19:00,3833,37.79
02.01.2018 19:00 - 02.01.2018 20:00,3704,33.95333333
02.01.2018 20:00 - 02.01.2018 21:00,3507,30.88
02.01.2018 21:00 - 02.01.2018 22:00,3218,28.85
02.01.2018 22:00 - 02.01.2018 23:00,2935,27.99
02.01.2018 23:00 - 03.01.2018 00:00,2790,27.6
03.01.2018 00:00 - 03.01.2018 01:00,2585,27.12
03.01.2018 01:00 - 03.01.2018 02:00,2521,26.61
03.01.2018 02:00 - 03.01.2018 03:00,2494,26.26
03.01.2018 03:00 - 03.01.2018 04:00,2492,26.23
03.01.2018 04:00 - 03.01.2018 05:00,2612,26.42
03.01.2018 05:00 - 03.01.2018 06:00,2963,27.47
03.01.2018 06:00 - 03.01.2018 07:00,3346,28.31
03.01.2018 07:00 - 03.01.2018 08:00,3630,28.95
03.01.2018 08:00 - 03.01.2018 09:00,3776,29.2
03.01.2018 09:00 - 03.01.2018 10:00,3877,29.28
03.01.2018 10:00 - 03.01.2018 11:00,3894,29.42
03.01.2018 11:00 - 03.01.2018 12:00,3855,29.25
03.01.2018 12:00 - 03.01.2018 13:00,3889,29.23
03.01.2018 13:00 - 03.01.2018 14:00,3851,29.49
03.01.2018 14:00 - 03.01.2018 15:00,3816,29.86
03.01.2018 15:00 - 03.01.2018 16:00,3964,30.51
03.01.2018 16:00 - 03.01.2018 17:00,4011,31.33
03.01.2018 17:00 - 03.01.2018 18:00,4000,31.59
03.01.2018 18:00 - 03.01.2018 19:00,3875,30.78
03.01.2018 19:00 - 03.01.2018 20:00,3740,30.15
03.01.2018 20:00 - 03.01.2018 21:00,3541,29.37
03.01.2018 21:00 - 03.01.2018 22:00,3265,28.93
03.01.2018 22:00 - 03.01.2018 23:00,2980,28.13
03.01.2018 23:00 - 04.01.2018 00:00,2782,27.31
04.01.2018 00:00 - 04.01.2018 01:00,2712,27.05
04.01.2018 01:00 - 04.01.2018 02:00,2647,26.78
04.01.2018 02:00 - 04.01.2018 03:00,2625,26.47
04.01.2018 03:00 - 04.01.2018 04:00,2653,26.49
04.01.2018 04:00 - 04.01.2018 05:00,2775,26.6
04.01.2018 05:00 - 04.01.2018 06:00,3221,27.01
04.01.2018 06:00 - 04.01.2018 07:00,3737,28.04
04.01.2018 07:00 - 04.01.2018 08:00,4153,30.43
04.01.2018 08:00 - 04.01.2018 09:00,4238,35.14333333
04.01.2018 09:00 - 04.01.2018 10:00,4239,34.97
04.01.2018 10:00 - 04.01.2018 11:00,4244,37.55
04.01.2018 11:00 - 04.01.2018 12:00,4149,36.02
04.01.2018 12:00 - 04.01.2018 13:00,4197,35.53
04.01.2018 13:00 - 04.01.2018 14:00,4160,35.3
04.01.2018 14:00 - 04.01.2018 15:00,4190,35.83
04.01.2018 15:00 - 04.01.2018 16:00,4333,37.83
04.01.2018 16:00 - 04.01.2018 17:00,4345,39.03
04.01.2018 17:00 - 04.01.2018 18:00,4264,37.91
04.01.2018 18:00 - 04.01.2018 19:00,4137,35.03
04.01.2018 19:00 - 04.01.2018 20:00,4029,31.87
04.01.2018 20:00 - 04.01.2018 21:00,3826,30.78
04.01.2018 21:00 - 04.01.2018 22:00,3456,30.27
04.01.2018 22:00 - 04.01.2018 23:00,3130,29.63
04.01.2018 23:00 - 05.01.2018 00:00,2859,28.05
05.01.2018 00:00 - 05.01.2018 01:00,2528,27.38
05.01.2018 01:00 - 05.01.2018 02:00,2611,26.93
05.01.2018 02:00 - 05.01.2018 03:00,2709,26.5
05.01.2018 03:00 - 05.01.2018 04:00,2740,26.5
05.01.2018 04:00 - 05.01.2018 05:00,2872,26.88
05.01.2018 05:00 - 05.01.2018 06:00,3296,27.66
05.01.2018 06:00 - 05.01.2018 07:00,3800,28.65
05.01.2018 07:00 - 05.01.2018 08:00,4181,30.44
05.01.2018 08:00 - 05.01.2018 09:00,4328,32.81666667
05.01.2018 09:00 - 05.01.2018 10:00,4328,34.79333333
05.01.2018 10:00 - 05.01.2018 11:00,4331,36.16333333
05.01.2018 11:00 - 05.01.2018 12:00,4236,36.02666667
05.01.2018 12:00 - 05.01.2018 13:00,4264,35.99333333
05.01.2018 13:00 - 05.01.2018 14:00,4173,35.96
05.01.2018 14:00 - 05.01.2018 15:00,4182,32.91666667
05.01.2018 15:00 - 05.01.2018 16:00,4254,36.17333333
05.01.2018 16:00 - 05.01.2018 17:00,4317,36.76666667
05.01.2018 17:00 - 05.01.2018 18:00,4206,37.47333333
05.01.2018 18:00 - 05.01.2018 19:00,4087,34
05.01.2018 19:00 - 05.01.2018 20:00,3973,32.25
05.01.2018 20:00 - 05.01.2018 21:00,3790,31.51
05.01.2018 21:00 - 05.01.2018 22:00,3487,31.25
05.01.2018 22:00 - 05.01.2018 23:00,3216,30.44
05.01.2018 23:00 - 06.01.2018 00:00,2981,29.64
06.01.2018 00:00 - 06.01.2018 01:00,2783,29.45
06.01.2018 01:00 - 06.01.2018 02:00,2711,28.55
06.01.2018 02:00 - 06.01.2018 03:00,2687,28.18
06.01.2018 03:00 - 06.01.2018 04:00,2700,28
06.01.2018 04:00 - 06.01.2018 05:00,2792,28.15
06.01.2018 05:00 - 06.01.2018 06:00,3034,28.7
06.01.2018 06:00 - 06.01.2018 07:00,3386,29.48
06.01.2018 07:00 - 06.01.2018 08:00,3636,30.35
06.01.2018 08:00 - 06.01.2018 09:00,3796,30.38
06.01.2018 09:00 - 06.01.2018 10:00,3900,30.9
06.01.2018 10:00 - 06.01.2018 11:00,3907,31.89
06.01.2018 11:00 - 06.01.2018 12:00,3873,32.86
06.01.2018 12:00 - 06.01.2018 13:00,3863,32.17
06.01.2018 13:00 - 06.01.2018 14:00,3826,31.79
06.01.2018 14:00 - 06.01.2018 15:00,3874,31.77
06.01.2018 15:00 - 06.01.2018 16:00,4035,33.05
06.01.2018 16:00 - 06.01.2018 17:00,4100,38.51666667
06.01.2018 17:00 - 06.01.2018 18:00,4034,39.77
06.01.2018 18:00 - 06.01.2018 19:00,3939,34.45
06.01.2018 19:00 - 06.01.2018 20:00,3820,31.93
06.01.2018 20:00 - 06.01.2018 21:00,3654,31.06
06.01.2018 21:00 - 06.01.2018 22:00,3404,30.72
06.01.2018 22:00 - 06.01.2018 23:00,3126,29.98
06.01.2018 23:00 - 07.01.2018 00:00,2876,29.03
07.01.2018 00:00 - 07.01.2018 01:00,2737,27.58
07.01.2018 01:00 - 07.01.2018 02:00,2668,25.9
07.01.2018 02:00 - 07.01.2018 03:00,2636,25.89
